,count,count
551,"['sheet, paper', 'broadsides (notices)', 'lithography', 'letterpress', 'shee, paper']",1
552,"['sheets of paper, set of', 'documents', 'sheets of paper, set of; documents']",1
553,"['documents', 'pamphlets', 'pamphlet; documents']",1
554,"['coaster, bottle']",1
555,"['cup, standing']",1
556,"['sheet (paper)', 'currency note']",1
557,"['note', 'bank note; 1780 07 14', 'bank note']",1
558,"['dish, salt']",1
559,"['plate; photomechanical intaglio', 'halftone', 'printing plates', 'plate', 'proof', 'prints', 'plate']",1
560,['washboard'],1
561,"['note', 'receipt']",1
562,['signature'],1
563,['patent license'],1
564,"['note', 'bank note', 'bank note; 1786 00 00']",1
565,"['note', 'bank note', 'bank note; 1777 10 20']",1
566,"['flatware, set, part of', 'ladles']",1
567,"['note', 'bill of exchange']",1
568,"['measure', 'measure, pint']",1
569,['slide rules'],1
570,"['arm, artificial', 'prosthesis']",1
571,"['balances (scales)', 'hand balance']",1
572,['shoes (footwear)'],1
573,"['measure', 'measure, half pint']",1
574,"['measure', 'measure, half gill']",1
575,"['weights', 'balances (scales)', 'balance set with weights']",1
576,"['chemistry set, portable']",1
577,"['note', 'bank note', 'bank note; 1779 02 08']",1
578,['pharmaceutical measure'],1
579,['revenue measures set'],1
580,"['weights', 'scientific weight', 'scientific weights']",1
581,"['balance with weights', 'weights', 'balances (scales)']",1
582,"['paintings', 'painting, portrait']",1
583,"['measure', 'measure, quarter gill']",1
584,"['paintings', 'painting, portrait', 'portraits']",1
585,"['block', 'block, cut']",1
586,"['pine tree', 'coverlet, geometric', 'coverlets', 'coverlet', 'snowballs', 'double weave']",1
587,['protractor and geometric square'],1
588,"['note', 'bank note', 'bank note; 1778 04 10']",1
589,"['bed coverings', 'coverlets', 'rose of sharon']",1
590,"['note', 'bank note', 'bank note; 1775 09 01']",1
591,"['pipe; smoking equipment', 'pipe, tobacco']",1
592,"['mold, spoon', 'spoons']",1
593,"['coverlets', 'coverlet fragment, geometric']",1
594,"['note', 'bank note; 1775 11 15', 'bank note']",1
595,"['bed coverings', 'coverlets', 'coverlet', 'coverlet']",1
596,"['pan, close stool', 'pot, commode']",1
597,"['pot, hot water', 'hot water pot']",1
598,"['note', 'bank note', 'bank note; 1775 11 15']",1
599,"['side chairs', 'sheraton', 'furnishings']",1
600,"['yardage', 'yardage']",1
601,"['portrait; medicine', 'portraits', 'portrait, surgeon']",1
602,"['cap, pipe, tobacco']",1
603,"['stem, pipe, tobacco']",1
604,"['bowl, pipe, tobacco']",1
605,"['hornbooks', 'hornbook']",1
606,"['designs (concepts)', 'drawing, school plan']",1
607,['book with box'],1
608,"['still lifes', 'engravings (prints)', 'prints']",1
609,"['still lifes', 'mezzotints (prints)', 'prints']",1
610,"['note; 1793 02 01', 'note']",1
611,"['note; 1775 08 02', 'note']",1
612,"['note', 'note; 1776 01 06']",1
