EDANurl,object_types_str,canonical_type_auto,action_family_auto,canonical_type_manual,action_family_manual
edanmdm:nmah_994232,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994231,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994230,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994229,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994219,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994218,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994213,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994209,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994208,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994189,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994187,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994185,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
